epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,266.291,1.74081,1.38282,1.66446,0.52187,0.52169,0.49184,0.16714,2.30279,1.67246,2.15725,0.00179705,0.00179705,0.00179705
43,272.385,1.7373,1.37407,1.63696,0.60409,0.53532,0.55258,0.20028,2.19418,1.52611,2.05007,0.0017921,0.0017921,0.0017921
44,279.152,1.70592,1.30106,1.59793,0.59551,0.48699,0.49638,0.19021,2.25231,1.62257,2.08973,0.00178715,0.00178715,0.00178715
45,285.434,1.72215,1.31836,1.63186,0.55036,0.51921,0.50844,0.1908,2.24691,1.5871,2.07128,0.0017822,0.0017822,0.0017822
46,291.844,1.69774,1.30076,1.60474,0.58505,0.50682,0.50452,0.18546,2.19978,1.58826,2.07535,0.00177725,0.00177725,0.00177725
47,297.945,1.6833,1.30385,1.59522,0.52719,0.47708,0.46114,0.17273,2.28315,1.67001,2.19254,0.0017723,0.0017723,0.0017723
48,304.286,1.69504,1.29846,1.60013,0.56708,0.51941,0.5227,0.17814,2.19642,1.58943,2.05635,0.00176735,0.00176735,0.00176735
49,310.757,1.68291,1.30364,1.59827,0.57052,0.50062,0.49743,0.18466,2.17088,1.59582,2.02938,0.0017624,0.0017624,0.0017624
50,316.855,1.66513,1.26626,1.59213,0.54446,0.51688,0.49554,0.18094,2.18579,1.54334,2.06494,0.00175745,0.00175745,0.00175745
51,323.233,1.66793,1.2144,1.56461,0.60674,0.51045,0.53112,0.20538,2.17735,1.56784,2.04525,0.0017525,0.0017525,0.0017525
52,329.723,1.63069,1.22577,1.54722,0.59177,0.5335,0.52646,0.19905,2.16323,1.546,2.03919,0.00174755,0.00174755,0.00174755
53,336.1,1.65676,1.22138,1.57648,0.5635,0.5071,0.52794,0.20349,2.24263,1.62538,2.09825,0.0017426,0.0017426,0.0017426
