epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,424.33,1.68616,1.30719,1.59109,0.53665,0.48451,0.47399,0.17696,2.10952,1.58462,2.02082,0.00179705,0.00179705,0.00179705
43,431.42,1.67611,1.27327,1.59304,0.55295,0.50062,0.48785,0.18497,2.2305,1.63447,2.12099,0.0017921,0.0017921,0.0017921
44,438.535,1.70429,1.28759,1.60647,0.51478,0.53506,0.49415,0.18245,2.19379,1.57536,2.07325,0.00178715,0.00178715,0.00178715
45,454.566,1.6633,1.29063,1.59255,0.56375,0.53163,0.51684,0.19361,2.15206,1.53492,2.04482,0.0017822,0.0017822,0.0017822
46,466.9,1.66634,1.26359,1.58259,0.54219,0.52292,0.50021,0.18619,2.161,1.46287,2.04525,0.00177725,0.00177725,0.00177725
47,473.953,1.63302,1.22628,1.55274,0.51689,0.52912,0.5014,0.18041,2.17187,1.54806,2.04551,0.0017723,0.0017723,0.0017723
48,481.025,1.59264,1.1671,1.53068,0.55755,0.51425,0.51733,0.1843,2.29488,1.63288,2.14609,0.00176735,0.00176735,0.00176735
49,494.391,1.66499,1.25261,1.58676,0.52015,0.5252,0.46156,0.15745,2.23193,1.67991,2.10153,0.0017624,0.0017624,0.0017624
50,502.444,1.66398,1.21851,1.56699,0.58255,0.51531,0.5207,0.18389,2.28247,1.62078,2.12434,0.00175745,0.00175745,0.00175745
51,513.226,1.6268,1.20315,1.54691,0.57423,0.55485,0.51601,0.18968,2.16873,1.42329,2.0111,0.0017525,0.0017525,0.0017525
52,520.299,1.63348,1.18647,1.56366,0.5375,0.54895,0.51813,0.192,2.20832,1.55479,2.09291,0.00174755,0.00174755,0.00174755
53,532.026,1.6302,1.16029,1.55777,0.54359,0.54459,0.52005,0.18867,2.18467,1.54886,2.08887,0.0017426,0.0017426,0.0017426
54,539.086,1.60288,1.19215,1.57428,0.5888,0.49328,0.50371,0.18519,2.28147,1.64521,2.15638,0.00173765,0.00173765,0.00173765
55,546.154,1.6116,1.16054,1.55097,0.5588,0.5316,0.51787,0.19545,2.22395,1.62216,2.10486,0.0017327,0.0017327,0.0017327
56,553.229,1.57725,1.15662,1.53553,0.60328,0.51921,0.53235,0.19325,2.242,1.59178,2.10672,0.00172775,0.00172775,0.00172775
57,569.107,1.5673,1.13679,1.53483,0.63027,0.50186,0.52304,0.19449,2.17048,1.48232,2.04003,0.0017228,0.0017228,0.0017228
58,578.151,1.59249,1.12885,1.5276,0.59532,0.50929,0.5164,0.19679,2.26809,1.56949,2.18797,0.00171785,0.00171785,0.00171785
59,602.549,1.64595,1.17376,1.54756,0.51206,0.54647,0.46043,0.1597,2.34056,1.60424,2.24923,0.0017129,0.0017129,0.0017129
60,609.559,1.57249,1.13005,1.52303,0.59886,0.48823,0.50469,0.18681,2.24665,1.58065,2.13987,0.00170795,0.00170795,0.00170795
61,616.646,1.56511,1.09776,1.49879,0.55356,0.53408,0.52698,0.18678,2.2452,1.5635,2.11504,0.001703,0.001703,0.001703
62,623.699,1.59637,1.12977,1.51585,0.57479,0.50682,0.49555,0.17769,2.35224,1.589,2.24213,0.00169805,0.00169805,0.00169805
63,630.785,1.57849,1.10078,1.51873,0.6157,0.52609,0.52697,0.19404,2.23352,1.46692,2.13715,0.0016931,0.0016931,0.0016931
64,637.878,1.55714,1.10402,1.51864,0.55302,0.50558,0.4718,0.16067,2.32452,1.56686,2.17859,0.00168815,0.00168815,0.00168815
65,647.11,1.53829,1.08038,1.49756,0.56098,0.50434,0.50644,0.17601,2.32356,1.49394,2.20189,0.0016832,0.0016832,0.0016832
66,658.652,1.54026,1.08564,1.50459,0.58299,0.51799,0.50951,0.17248,2.33955,1.52729,2.19797,0.00167825,0.00167825,0.00167825
67,669.794,1.50894,1.06848,1.48826,0.58379,0.5539,0.54112,0.18571,2.28337,1.53691,2.14695,0.0016733,0.0016733,0.0016733
68,678.367,1.54881,1.04936,1.48476,0.54176,0.5316,0.51858,0.19197,2.18943,1.4281,2.06578,0.00166835,0.00166835,0.00166835
69,686.335,1.54205,1.07967,1.48964,0.56838,0.46592,0.4644,0.17477,2.2095,1.49538,2.09221,0.0016634,0.0016634,0.0016634
70,693.439,1.52875,1.0305,1.47178,0.61507,0.50805,0.53407,0.19845,2.26637,1.48782,2.15641,0.00165845,0.00165845,0.00165845
71,700.585,1.50796,1.04239,1.47503,0.58483,0.52292,0.51773,0.17663,2.29131,1.47,2.19083,0.0016535,0.0016535,0.0016535
